,Title 1,Meta Description 1,H1-1
186,"The Home Depot - ""It's Time - Olympic Anthem""",Television It's Time - Olympic Anthem for The Home Depot by The Richards Group - homedepot.com/TeamUSA,"The Home Depot - ""It's Time - Olympic Anthem"""
187,"Visa - ""Immortal""",Television Immortal for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Immortal"""
188,"Target - ""In This World Together""",Television In This World Together for Target by Peterson Milla Hooks - EXPECT MORE. PAY LESS.,"Target - ""In This World Together"""
189,"San Francisco 49ers - ""In-Bound""",Television In-Bound for San Francisco 49ers by BuderEngel and Friends - Put Your Game Face On,"San Francisco 49ers - ""In-Bound"""
190,"Visa - ""Anthem""",Television Anthem for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Anthem"""
191,"Powerade - ""Philips Idowu""",Print Philips Idowu for Powerade by Mother London - SPORTS DRINK OF TEAM GB,"Powerade - ""Philips Idowu"""
192,"Powerade - ""Rebecca Romero""",Print Rebecca Romero for Powerade by Mother London - SPORTS DRINK OF TEAM GB,"Powerade - ""Rebecca Romero"""
193,"Powerade - ""Gregor Tait""",Print Gregor Tait for Powerade by Mother London - SPORTS DRINK OF TEAM GB,"Powerade - ""Gregor Tait"""
194,"Visa - ""Congratulations Phelps""",Television Congratulations Phelps for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Congratulations Phelps"""
195,"Nike - ""A New Team""",Television A New Team for Nike by Wieden + Kennedy - NIKE.COM,"Nike - ""A New Team"""
196,"adidas - ""Countdown""",Television Countdown for adidas by TBWA\Greater China,"adidas - ""Countdown"""
197,"United States Olympic Committee - ""Asterisk (60 sec)""",Television Asterisk (60 sec) for United States Olympic Committee by TBWA\Chiat\Day New York - DontBeAnAsterisk.com,"United States Olympic Committee - ""Asterisk (60 sec)"""
198,"United States Olympic Committee - ""Asterisk (30 sec)""",Television Asterisk (30 sec) for United States Olympic Committee by TBWA\Chiat\Day New York - DontBeAnAsterisk.com,"United States Olympic Committee - ""Asterisk (30 sec)"""
199,"Johnson & Johnson - ""Shalane (30 sec)""",Television Shalane (30 sec) for Johnson & Johnson by MullenLowe New York - Thanks Mom,"Johnson & Johnson - ""Shalane (30 sec)"""
200,"Johnson & Johnson - ""Sarah""",Television Sarah for Johnson & Johnson by MullenLowe New York - Thanks Mom,"Johnson & Johnson - ""Sarah"""
201,"Johnson & Johnson - ""Richard""",Television Richard for Johnson & Johnson by MullenLowe New York - Thanks Mom,"Johnson & Johnson - ""Richard"""
202,"Johnson & Johnson - ""Jarrod""",Television Jarrod for Johnson & Johnson by MullenLowe New York - Thanks Mom,"Johnson & Johnson - ""Jarrod"""
203,"Johnson & Johnson - ""Cullen""",Television Cullen for Johnson & Johnson by MullenLowe New York - Thanks Mom,"Johnson & Johnson - ""Cullen"""
204,"Visa - ""8 Medals - Phelps""",Television 8 Medals - Phelps for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""8 Medals - Phelps"""
205,"ESPN - ""Pool""",Print Pool for ESPN by NEOGAMA - The sport you´re looking for and much more.,"ESPN - ""Pool"""
206,"ESPN - ""Golf""",Print Golf for ESPN by NEOGAMA - The sport you´re looking for and much more.,"ESPN - ""Golf"""
207,"ESPN - ""Rugby""",Print Rugby for ESPN by NEOGAMA - The sport you´re looking for and much more.,"ESPN - ""Rugby"""
208,"ESPN - ""Soccer""",Print Soccer for ESPN by NEOGAMA - The sport you´re looking for and much more.,"ESPN - ""Soccer"""
209,"ESPN - ""Tennis""",Print Tennis for ESPN by NEOGAMA - The sport you´re looking for and much more.,"ESPN - ""Tennis"""
210,"Visa - ""Nastia""",Television Nastia for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Nastia"""
211,"ESPN - ""Manny Being Manny""","Television Manny Being Manny for ESPN by Wieden + Kennedy - Manny does nothing in the break room, Steve Levy and Jay Harris love it.","ESPN - ""Manny Being Manny"""
212,"Bradesco - ""Jumping""",Print Jumping for Bradesco by NEOGAMA - Brazil's biggest private bank.,"Bradesco - ""Jumping"""
213,"EA Sports - ""Walk On Water""","Web Film Walk On Water for EA Sports by Wieden + Kennedy - As a response to a fan video from Tiger Woods PGA Tour 08, Tiger Woods and EA SPORTS demonstrate...","EA Sports - ""Walk On Water"""
214,"at&t - ""Phelps Phan""",Television Phelps Phan for at&t by BBDO New York - Your world. Delivered.,"at&t - ""Phelps Phan"""
215,"Bradesco - ""Watches V""","Print Watches V for Bradesco by NEOGAMA - Time and life. If you don't have the first, you don't have the second.","Bradesco - ""Watches V"""
216,"ESPN Fantasy - ""Greg Jennings""",Television Greg Jennings for ESPN Fantasy by Arnold - Best Experts. Best Features. Best Game.,"ESPN Fantasy - ""Greg Jennings"""
217,"Nike - ""We Have Softball""",Television We Have Softball for Nike by Wieden + Kennedy - NIKE.COM,"Nike - ""We Have Softball"""
218,"Nike - ""Stepladder""",Television Stepladder for Nike - 1-877-DUNKD-ON,"Nike - ""Stepladder"""
219,"Land Rover - ""Top Friends""",Print Top Friends for Land Rover by Y&R London - Go Beyond,"Land Rover - ""Top Friends"""
220,"Jeep - ""Rollercoaster""",Television Rollercoaster for Jeep by Cutwater - Have fun out there.,"Jeep - ""Rollercoaster"""
221,"ESPN - ""Alarm Clock""","Television Alarm Clock for ESPN by Wieden + Kennedy - Alarm Clocks
The first worst thing about Monday? Your alarm clock so rudely interrupting
your dream...","ESPN - ""Alarm Clock"""
222,"ESPN - ""Paper Jam""","Television Paper Jam for ESPN by Wieden + Kennedy - Paper Jams
Why does it say ""Paper Jam"" when there is no paper jam? Boy do Mondays suck.
But they`re a...","ESPN - ""Paper Jam"""
223,"BMW - ""Test Pilot""",Television & Cinema Test Pilot for BMW by Ireland | Davenport,"BMW - ""Test Pilot"""
224,"Total sports - ""Butterfly shoe window""",Promotion & Event Butterfly shoe window for Total sports by MullenLowe South Africa,"Total sports - ""Butterfly shoe window"""
225,"Audi - ""Fans""",Television & Cinema Fans for Audi by Ogilvy South Africa,"Audi - ""Fans"""
226,"Canon - ""Fans""",Television Fans for Canon by Dentsu Aegis Network - Make every shot a PowerShot,"Canon - ""Fans"""
227,"Old Mutual - ""Say Old Mutual""",Television & Cinema Say Old Mutual for Old Mutual by Dalton Agency - Invest Insure Innovate,"Old Mutual - ""Say Old Mutual"""
228,"NFL - ""Your NFL""",Television Your NFL for NFL by Oishii Creative - This is your NFL.,"NFL - ""Your NFL"""
229,"EA Sports - ""Tucker""",Television Tucker for EA Sports by Wieden + Kennedy - To create excitement around the launch of Tiger Woods PGA Tour 09 and establish the game as the top t...,"EA Sports - ""Tucker"""
230,"EA Sports - ""Hard Day""",Television Hard Day for EA Sports by Wieden + Kennedy - To create excitement around the launch of Tiger Woods PGA Tour 09 and establish the game as the top...,"EA Sports - ""Hard Day"""
231,"EA Sports - ""Square Peg, Round Hole""","Television Square Peg, Round Hole for EA Sports by Wieden + Kennedy - Get people excited about the GamerNet feature in Tiger Woods PGA Tour 09.

GamerNet...","EA Sports - ""Square Peg, Round Hole"""
232,"VB Gold - ""Sportsman""",Television Sportsman for VB Gold by Droga5 - For Real,"VB Gold - ""Sportsman"""
233,"Buffalo Wild Wings Grill & Bar - ""Extra Innings""",Television Extra Innings for Buffalo Wild Wings Grill & Bar by 22squared - YOU HAVE TO BE HERE,"Buffalo Wild Wings Grill & Bar - ""Extra Innings"""
234,"Buffalo Wild Wings Grill & Bar - ""Review""",Television Review for Buffalo Wild Wings Grill & Bar by 22squared - You Have To Be Here,"Buffalo Wild Wings Grill & Bar - ""Review"""
235,"Buffalo Wild Wings Grill & Bar - ""Website""",Web Site Website for Buffalo Wild Wings Grill & Bar by 22squared - YOU HAVE TO BE HERE,"Buffalo Wild Wings Grill & Bar - ""Website"""
236,"Sprint - ""NFL In Your Pocket""",Television NFL In Your Pocket for Sprint by Goodby Silverstein & Partners - sprint.com/NFL,"Sprint - ""NFL In Your Pocket"""
237,"Coors Light - ""Wedge It""",Television Wedge It for Coors Light by FCB Chicago,"Coors Light - ""Wedge It"""
238,"Nike - ""Mannequin""",Television Mannequin for Nike by Wieden + Kennedy - Glenn Dorsey of the Kansas City Chiefs takes exception to the size of the Nike football mannequins.,"Nike - ""Mannequin"""
239,"Nike - ""Gatekeeper""",Television Gatekeeper for Nike by Wieden + Kennedy - Glenn Dorsey of the Kansas City Chiefs is invited for a meet-and-greet at Dicks Sporting Goods and ta...,"Nike - ""Gatekeeper"""
240,"Nike - ""Cleat Test""",Television Cleat Test for Nike by Wieden + Kennedy - Darren McFadden of the Oakland Raiders demonstrates how an elite athlete should try on a cleat.,"Nike - ""Cleat Test"""
241,"EA Sports - ""Spore TV""",Television Spore TV for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the...,"EA Sports - ""Spore TV"""
242,"Johnson & Johnson - ""Shalane (15 sec)""",Television Shalane (15 sec) for Johnson & Johnson by MullenLowe New York - Thanks Mom,"Johnson & Johnson - ""Shalane (15 sec)"""
243,"Coca-Cola - ""We Were All There""",Television We Were All There for Coca-Cola by Red Lounge,"Coca-Cola - ""We Were All There"""
244,"EA Sports - ""Adapt Me""",Outdoor/Out of Home Adapt Me for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title wi...,"EA Sports - ""Adapt Me"""
245,"EA Sports - ""Anti Matter""",Outdoor/Out of Home Anti Matter for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title...,"EA Sports - ""Anti Matter"""
246,"EA Sports - ""Antlers""",Outdoor/Out of Home Antlers for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title wit...,"EA Sports - ""Antlers"""
247,"EA Sports - ""City Hall""",Outdoor/Out of Home City Hall for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title w...,"EA Sports - ""City Hall"""
248,"EA Sports - ""DNA""",Outdoor/Out of Home DNA for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within...,"EA Sports - ""DNA"""
249,"EA Sports - ""EXPHIR""",Outdoor/Out of Home EXPHIR for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title with...,"EA Sports - ""EXPHIR"""
250,"EA Sports - ""Family Tree""",Outdoor/Out of Home Family Tree for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title...,"EA Sports - ""Family Tree"""
251,"EA Sports - ""Faraway""",Outdoor/Out of Home Faraway for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title wit...,"EA Sports - ""Faraway"""
252,"EA Sports - ""Flavors""",Outdoor/Out of Home Flavors for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title wit...,"EA Sports - ""Flavors"""
253,"EA Sports - ""Kids""",Outdoor/Out of Home Kids for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within...,"EA Sports - ""Kids"""
254,"EA Sports - ""Mating Rituals""",Outdoor/Out of Home Mating Rituals for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top ti...,"EA Sports - ""Mating Rituals"""
255,"EA Sports - ""Mitosis Happens""",Outdoor/Out of Home Mitosis Happens for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top t...,"EA Sports - ""Mitosis Happens"""
256,"EA Sports - ""My Ancestor""",Outdoor/Out of Home My Ancestor for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title...,"EA Sports - ""My Ancestor"""
257,"EA Sports - ""Planet""",Outdoor/Out of Home Planet for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title with...,"EA Sports - ""Planet"""
258,"EA Sports - ""Tail Today""",Outdoor/Out of Home Tail Today for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title...,"EA Sports - ""Tail Today"""
259,"EA Sports - ""Time Flies""",Outdoor/Out of Home Time Flies for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title...,"EA Sports - ""Time Flies"""
260,"EA Sports - ""Wanderlust""",Outdoor/Out of Home Wanderlust for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title...,"EA Sports - ""Wanderlust"""
261,"EA Sports - ""You're Weird""",Outdoor/Out of Home You're Weird for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top titl...,"EA Sports - ""You're Weird"""
262,"EA Sports - ""43""",Web Film 43 for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Games vi...,"EA Sports - ""43"""
263,"EA Sports - ""Amoeba""",Web Film Amoeba for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Game...,"EA Sports - ""Amoeba"""
264,"EA Sports - ""Big""",Web Film Big for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Games v...,"EA Sports - ""Big"""
265,"EA Sports - ""Camera""",Web Film Camera for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Game...,"EA Sports - ""Camera"""
266,"EA Sports - ""Egg""",Web Film Egg for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Games v...,"EA Sports - ""Egg"""
267,"EA Sports - ""Facial Hair""",Web Film Facial Hair for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the...,"EA Sports - ""Facial Hair"""
268,"EA Sports - ""Hindsight""",Web Film Hindsight for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the G...,"EA Sports - ""Hindsight"""
269,"EA Sports - ""Meat""",Web Film Meat for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Games...,"EA Sports - ""Meat"""
270,"EA Sports - ""Metaphor""",Web Film Metaphor for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Ga...,"EA Sports - ""Metaphor"""
271,"EA Sports - ""Planet""",Web Film Planet for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Game...,"EA Sports - ""Planet"""
272,"EA Sports - ""Predator""",Web Film Predator for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Ga...,"EA Sports - ""Predator"""
273,"EA Sports - ""Pro-Floaty""",Web Film Pro-Floaty for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the...,"EA Sports - ""Pro-Floaty"""
274,"EA Sports - ""Speed""",Web Film Speed for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Games...,"EA Sports - ""Speed"""
275,"EA Sports - ""Suitable""",Web Film Suitable for EA Sports by Wieden + Kennedy - To create excitement around the launch of SPORE and establish the game as the top title within the Ga...,"EA Sports - ""Suitable"""
276,"ESPN - ""Cubicles""","Television Cubicles for ESPN by Wieden + Kennedy - So your workplace isn`t the most stimulating. Or spacious. Or anywhere Erik
Estrada would be caught dea...","ESPN - ""Cubicles"""
277,"Dick's - ""Gatekeeper""",Television Gatekeeper for Dick's by Wieden + Kennedy - Better Athlete. Better Team.,"Dick's - ""Gatekeeper"""
278,"Minnesota State Lottery - ""Slacker""",Television Slacker for Minnesota State Lottery by Colle + McVoy - The 30-second spots attract attention to the excitement of the new Print-N-Play game by t...,"Minnesota State Lottery - ""Slacker"""
